Id,Name,Est_diameter_min,Est_diameter_max,Relative_velocity,Miss_distance,Orbiting_body,Sentry_object,Absolute_magnitude,Hazardous
3736243,(2015 XV129),0.011080388,0.024776501,24154.63703,9758104.802,Earth,False,26.9,0
54017662,(2020 MO3),0.031956189,0.07145621,19423.59607,28903778.54,Earth,False,24.6,0
3414391,(2008 MG1),0.278326768,0.622357573,67387.3025,53284607.08,Earth,False,19.9,0
3602932,(2012 HC20),0.133215567,0.297879063,77769.96158,25877221.33,Earth,False,21.5,0
54254975,(2022 EL5),0.010059004,0.022492617,9267.531308,18482403.99,Earth,False,27.11,0
3843107,(2019 NC1),0.133215567,0.297879063,15547.58131,9278983.948,Earth,False,21.5,0
3989408,(2020 CN),0.008801465,0.019680675,53197.89491,1842078.967,Earth,False,27.4,0
3182823,(2004 KG1),0.040230458,0.089958039,50398.8286,18452689.43,Earth,False,24.1,0
3769815,(2017 DV34),0.116025908,0.259441818,52758.12862,48165051.26,Earth,False,21.8,0
3905994,(2019 XN1),0.110803882,0.247765013,19434.8816,71501406.9,Earth,False,21.9,0
3552574,(2010 WF3),0.167708462,0.375007522,30949.48894,27336934.91,Earth,False,21.0,0
3562324,(2011 GP44),0.035039264,0.078350176,36657.70748,61911510.12,Earth,False,24.4,0
3703059,(2014 YE15),0.00581507,0.013002893,35622.78067,23424099.19,Earth,False,28.3,0
3529053,(2010 LK34),0.110803882,0.247765013,128423.9058,39159972.63,Earth,False,21.9,1
3752705,(2016 JH),0.010105434,0.022596438,12847.87122,6046828.693,Earth,False,27.1,0
3801965,(2018 FY),0.058150704,0.130028927,28402.70312,16826118.83,Earth,False,23.3,0
3774093,(2017 HV3),0.048367649,0.108153351,52322.89455,56685339.45,Earth,False,23.7,0
3831213,(2018 TA2),0.010581689,0.023661375,32993.38467,23836095.41,Earth,False,27.0,0
2301844,301844 (1990 UA),0.319561887,0.714562102,42684.64263,33355247.84,Earth,False,19.6,1
3830496,(2018 RP8),0.295498293,0.660754271,48952.76104,62510142.69,Earth,False,19.77,0
3723816,(2015 MN116),0.291443905,0.651688382,77383.71659,69646342.39,Earth,False,19.8,0
3634440,(2013 GA55),0.008027032,0.017948989,51872.49794,24580309.57,Earth,False,27.6,0
3713071,(2015 EZ6),0.005064715,0.011325046,12307.55392,733870.5873,Earth,False,28.6,0
3763475,(2016 VL3),0.036690614,0.082042707,19198.435,58229839.29,Earth,False,24.3,0
3840690,(2019 FR),0.042126461,0.094197631,28114.47637,7700334.848,Earth,False,24.0,0
3836088,(2018 VR3),0.011080388,0.024776501,21445.57698,37422372.44,Earth,False,26.9,0
3749034,(2016 GN2),0.02658,0.059434687,22136.32606,8237670.111,Earth,False,25.0,0
3067588,(2000 TH1),0.080270317,0.179489885,35701.31986,11691830.51,Earth,False,22.6,0
3841958,(2019 JA8),0.096062742,0.21480282,28549.03306,41336711.89,Earth,False,22.21,0
54104841,(2021 AJ2),0.059231806,0.132446345,35271.65572,36346588.79,Earth,False,23.26,0
54269583,(2022 GO2),0.007287104,0.01629446,81203.11901,68572153.71,Earth,False,27.81,0
3674427,(2014 NA39),0.040230458,0.089958039,39032.94563,18180678.37,Earth,False,24.1,0
3766296,(2017 AH3),0.058150704,0.130028927,39747.57669,45399994.35,Earth,False,23.3,0
3824066,(2018 JP1),0.183888672,0.411187571,33410.51538,65376698.27,Earth,False,20.8,0
3684344,(2014 QK362),0.127219879,0.284472297,95195.7951,57479746.15,Earth,False,21.6,0
3879228,(2019 UL),0.004023046,0.008995804,20326.49243,38205516.82,Earth,False,29.1,0
3742342,(2016 CL136),0.139493823,0.311917671,65029.69926,5286694.539,Earth,False,21.4,1
3892695,(2019 VL3),0.058150704,0.130028927,77194.79289,37825484.73,Earth,False,23.3,0
3715499,(2015 FD341),0.766575574,1.714115092,53967.80784,67258205.28,Earth,False,17.7,0
54091659,(2020 VV6),0.005451989,0.012191018,102045.5243,73552022.45,Earth,False,28.44,0
3728230,(2015 SF),0.069912523,0.156329154,81916.78591,11479174.7,Earth,False,22.9,0
