threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.28,0.99,0.44,0.75
0.1,0.29,0.99,0.44,0.76
0.15,0.29,0.99,0.45,0.76
0.2,0.29,0.99,0.45,0.76
0.25,0.3,0.99,0.46,0.77
0.3,0.3,0.99,0.46,0.78
0.35,0.3,0.98,0.46,0.78
0.4,0.3,0.96,0.46,0.78
0.45,0.31,0.96,0.46,0.78
0.5,0.31,0.96,0.47,0.79
0.55,0.32,0.95,0.48,0.8
0.6,0.33,0.93,0.48,0.81
0.65,0.33,0.9,0.48,0.81
0.7,0.33,0.88,0.48,0.82
0.75,0.32,0.79,0.45,0.81
0.8,0.33,0.77,0.46,0.83
0.85,0.34,0.74,0.46,0.83
0.9,0.36,0.71,0.48,0.85
0.95,0.36,0.57,0.44,0.86
1.0,0.35,0.53,0.42,0.86
