threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.17,1.0,0.28,0.51
0.1,0.2,1.0,0.33,0.6
0.15,0.22,1.0,0.36,0.65
0.2,0.24,1.0,0.38,0.68
0.25,0.25,1.0,0.4,0.71
0.3,0.26,1.0,0.42,0.73
0.35,0.28,1.0,0.43,0.74
0.4,0.29,0.99,0.45,0.77
0.45,0.31,0.99,0.47,0.78
0.5,0.32,0.98,0.48,0.8
0.55,0.33,0.94,0.49,0.81
0.6,0.33,0.9,0.48,0.81
0.65,0.33,0.83,0.47,0.82
0.7,0.32,0.75,0.45,0.82
0.75,0.31,0.64,0.42,0.82
0.8,0.29,0.52,0.37,0.83
0.85,0.29,0.43,0.34,0.84
0.9,0.27,0.32,0.29,0.85
0.95,0.24,0.19,0.21,0.86
1.0,0.0,0.0,0.0,0.9
