threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.31,0.99,0.47,0.78
0.1,0.31,0.99,0.48,0.79
0.15,0.32,0.99,0.48,0.8
0.2,0.32,0.99,0.49,0.8
0.25,0.33,0.98,0.49,0.8
0.3,0.32,0.96,0.49,0.8
0.35,0.33,0.96,0.49,0.8
0.4,0.32,0.95,0.48,0.8
0.45,0.32,0.94,0.48,0.8
0.5,0.33,0.94,0.49,0.81
0.55,0.33,0.94,0.49,0.81
0.6,0.34,0.94,0.49,0.81
0.65,0.34,0.93,0.5,0.82
0.7,0.35,0.93,0.5,0.82
0.75,0.35,0.91,0.5,0.83
0.8,0.35,0.89,0.5,0.83
0.85,0.35,0.86,0.5,0.83
0.9,0.35,0.8,0.49,0.84
0.95,0.37,0.74,0.49,0.85
1.0,0.0,0.0,0.0,0.9
