threshold,precision,recall,f1,accuracy
0.0,0.32,1.0,0.49,0.32
0.05,0.32,1.0,0.49,0.32
0.1,0.32,1.0,0.49,0.32
0.15,0.32,1.0,0.49,0.32
0.2,0.35,0.97,0.52,0.41
0.25,0.82,0.52,0.64,0.81
0.3,0.84,0.52,0.65,0.81
0.35,0.84,0.52,0.65,0.81
0.4,0.84,0.52,0.65,0.81
0.45,0.84,0.52,0.65,0.81
0.5,0.84,0.52,0.65,0.81
0.55,0.84,0.52,0.65,0.81
0.6,0.84,0.52,0.65,0.81
0.65,0.86,0.52,0.65,0.82
0.7,0.89,0.5,0.64,0.82
0.75,1.0,0.09,0.17,0.71
0.8,0.0,0.0,0.0,0.68
0.85,0.0,0.0,0.0,0.68
0.9,0.0,0.0,0.0,0.68
0.95,0.0,0.0,0.0,0.68
1.0,0.0,0.0,0.0,0.68
