threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.29,0.99,0.45,0.76
0.1,0.29,0.99,0.45,0.77
0.15,0.3,0.99,0.46,0.77
0.2,0.3,0.98,0.46,0.77
0.25,0.31,0.98,0.47,0.78
0.3,0.31,0.98,0.47,0.79
0.35,0.31,0.96,0.47,0.79
0.4,0.32,0.95,0.47,0.8
0.45,0.32,0.91,0.48,0.8
0.5,0.31,0.84,0.45,0.8
0.55,0.31,0.79,0.45,0.81
0.6,0.33,0.76,0.46,0.82
0.65,0.34,0.71,0.46,0.84
0.7,0.37,0.68,0.48,0.86
0.75,0.37,0.6,0.46,0.86
0.8,0.38,0.53,0.44,0.87
0.85,0.4,0.45,0.42,0.88
0.9,0.38,0.29,0.33,0.88
0.95,0.38,0.15,0.22,0.89
1.0,0.45,0.15,0.23,0.9
