threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.23,1.0,0.37,0.68
0.1,0.25,1.0,0.4,0.71
0.15,0.27,1.0,0.42,0.73
0.2,0.28,0.99,0.44,0.76
0.25,0.3,0.99,0.46,0.77
0.3,0.31,0.98,0.47,0.79
0.35,0.32,0.93,0.48,0.8
0.4,0.34,0.91,0.5,0.82
0.45,0.35,0.85,0.49,0.83
0.5,0.36,0.8,0.5,0.84
0.55,0.36,0.71,0.48,0.85
0.6,0.35,0.6,0.44,0.85
0.65,0.34,0.47,0.4,0.86
0.7,0.33,0.32,0.32,0.87
0.75,0.33,0.23,0.27,0.88
0.8,0.33,0.14,0.2,0.89
0.85,0.27,0.07,0.11,0.89
0.9,0.27,0.04,0.08,0.9
0.95,0.25,0.02,0.04,0.9
1.0,0.0,0.0,0.0,0.9
