threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.29,0.95,0.45,0.77
0.1,0.29,0.91,0.44,0.78
0.15,0.3,0.9,0.45,0.79
0.2,0.3,0.88,0.45,0.79
0.25,0.31,0.87,0.45,0.8
0.3,0.3,0.85,0.45,0.8
0.35,0.3,0.82,0.44,0.8
0.4,0.31,0.82,0.45,0.8
0.45,0.31,0.79,0.44,0.81
0.5,0.3,0.74,0.42,0.8
0.55,0.3,0.74,0.43,0.81
0.6,0.31,0.72,0.43,0.81
0.65,0.31,0.71,0.43,0.82
0.7,0.33,0.71,0.45,0.83
0.75,0.33,0.69,0.44,0.83
0.8,0.34,0.65,0.44,0.84
0.85,0.34,0.61,0.44,0.85
0.9,0.33,0.54,0.41,0.85
0.95,0.37,0.47,0.41,0.87
1.0,0.0,0.0,0.0,0.9
