threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.27,1.0,0.42,0.74
0.1,0.29,1.0,0.45,0.76
0.15,0.31,0.98,0.47,0.79
0.2,0.33,0.84,0.47,0.82
0.25,0.36,0.68,0.47,0.85
0.3,0.43,0.44,0.44,0.89
0.35,0.51,0.29,0.37,0.9
0.4,0.56,0.24,0.34,0.91
0.45,0.65,0.21,0.31,0.91
0.5,0.7,0.15,0.25,0.91
0.55,0.81,0.1,0.17,0.91
0.6,0.75,0.07,0.12,0.91
0.65,0.7,0.05,0.1,0.91
0.7,1.0,0.04,0.08,0.91
0.75,1.0,0.02,0.04,0.9
0.8,1.0,0.01,0.01,0.9
0.85,0.0,0.0,0.0,0.9
0.9,0.0,0.0,0.0,0.9
0.95,0.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,0.9
