threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.1,1.0,0.18,0.1
0.1,0.1,1.0,0.18,0.1
0.15,0.1,1.0,0.18,0.1
0.2,0.1,1.0,0.18,0.1
0.25,0.1,1.0,0.18,0.1
0.3,0.11,1.0,0.2,0.24
0.35,0.18,1.0,0.3,0.54
0.4,0.24,1.0,0.39,0.69
0.45,0.3,0.96,0.46,0.78
0.5,0.3,0.74,0.42,0.81
0.55,0.29,0.57,0.39,0.83
0.6,0.28,0.4,0.33,0.84
0.65,0.29,0.34,0.31,0.85
0.7,0.29,0.29,0.29,0.86
0.75,0.28,0.24,0.26,0.87
0.8,0.28,0.18,0.22,0.88
0.85,0.36,0.03,0.05,0.9
0.9,0.0,0.0,0.0,0.9
0.95,0.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,0.9
