threshold,precision,recall,f1,accuracy
0.0,0.1,1.0,0.18,0.1
0.05,0.3,0.99,0.46,0.78
0.1,0.31,0.99,0.47,0.78
0.15,0.31,0.96,0.47,0.79
0.2,0.33,0.89,0.48,0.81
0.25,0.35,0.6,0.44,0.85
0.3,0.45,0.36,0.4,0.9
0.35,0.5,0.29,0.36,0.9
0.4,0.55,0.26,0.36,0.91
0.45,0.58,0.24,0.34,0.91
0.5,0.65,0.21,0.31,0.91
0.55,0.68,0.19,0.3,0.91
0.6,0.74,0.19,0.3,0.92
0.65,0.8,0.18,0.29,0.92
0.7,0.86,0.18,0.29,0.92
0.75,0.91,0.15,0.25,0.92
0.8,1.0,0.14,0.25,0.92
0.85,1.0,0.1,0.19,0.91
0.9,1.0,0.07,0.14,0.91
0.95,0.0,0.0,0.0,0.9
1.0,0.0,0.0,0.0,0.9
